tax_percentage,fare,driver_fee,drive_time_min,bus_time_min,drive_cost,bus_cost,index
0.5,0.75,0,25.98,61.55,7.19,0.75,0
0.5,0.75,0.5,23.47,58.58,7.69,0.75,1
0.5,0.75,1,22.62,56.06,8.19,0.75,2
0.5,1.25,0,25.98,61.25,7.19,1.25,3
0.5,1.25,0.5,23.42,57.54,7.69,1.25,4
0.5,1.25,1,22.61,55.05,8.19,1.25,5
0.5,1.75,0,25.98,61.01,7.19,1.75,6
0.5,1.75,0.5,23.41,56.62,7.69,1.75,7
0.5,1.75,1,22.64,54.23,8.19,1.75,8
1,0.75,0,25.12,61.23,7.19,0.75,9
1,0.75,0.5,23.17,57.2,7.69,0.75,10
1,0.75,1,22.4,55.07,8.19,0.75,11
1,1.25,0,25,60.77,7.19,1.25,12
1,1.25,0.5,23.16,56.22,7.69,1.25,13
1,1.25,1,22.41,54.17,8.19,1.25,14
1,1.75,0,24.91,60.25,7.19,1.75,15
1,1.75,0.5,23.18,55.39,7.69,1.75,16
1,1.75,1,22.46,53.45,8.19,1.75,17
1.5,0.75,0,23.88,58.93,7.19,0.75,18
1.5,0.75,0.5,22.92,56.03,7.69,0.75,19
1.5,0.75,1,22.19,54.2,8.19,0.75,20
1.5,1.25,0,23.85,58.1,7.19,1.25,21
1.5,1.25,0.5,22.93,55.14,7.69,1.25,22
1.5,1.25,1,22.23,53.4,8.19,1.25,23
1.5,1.75,0,23.84,57.33,7.19,1.75,24
1.5,1.75,0.5,22.97,54.41,7.69,1.75,25
1.5,1.75,1,22.29,52.77,8.19,1.75,26
